disease_id,disease
DIS_0474,Klippel-Trenaunay syndrome
DIS_0475,Knee bursitis
DIS_0476,Knee pain
DIS_0478,Latex allergy
DIS_0480,Left ventricular hypertrophy
DIS_0481,Legg-Calve-Perthes disease
DIS_0483,Leiomyosarcoma
DIS_0484,Leukemia
DIS_0486,Lichen planus
DIS_0487,Lip cancer
DIS_0489,Liposarcoma
DIS_0493,Long QT syndrome
DIS_0494,Low blood pressure (hypotension)
DIS_0496,Lung cancer
DIS_0498,Lupus nephritis
DIS_0499,Lynch syndrome
DIS_0500,MCAD deficiency
DIS_0506,Malignant peripheral nerve sheath tumors (MPNST)
DIS_0508,Mantle cell lymphoma
DIS_0509,Marginal zone lymphoma
DIS_0510,Mastitis
DIS_0512,Median arcuate ligament syndrome (MALS)
DIS_0513,Medication overuse headaches
DIS_0514,Meniere's disease
DIS_0515,Meningioma
DIS_0516,Meningitis
DIS_0517,Menopause
DIS_0519,Mental illness
DIS_0520,Meralgia paresthetica
DIS_0522,Mesenteric lymphadenitis
DIS_0523,Mesothelioma
DIS_0525,Metachromatic leukodystrophy
DIS_0526,Metastatic (stage 4) prostate cancer
DIS_0529,Microscopic colitis
DIS_0531,Mild cognitive impairment (MCI)
DIS_0533,Miscarriage
DIS_0534,Mitral valve disease
DIS_0536,Mitral valve regurgitation
DIS_0537,Mitral valve stenosis
DIS_0538,Mittelschmerz
DIS_0540,Moles
DIS_0546,Movement disorders
DIS_0547,"Multiple endocrine neoplasia, type 1 (MEN 1)"
DIS_0548,Multiple myeloma
DIS_0552,Muscle strains
DIS_0554,Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)
DIS_0555,Myasthenia gravis
DIS_0556,Myelofibrosis
DIS_0558,Myocarditis
DIS_0560,Myofascial pain syndrome
DIS_0563,Narcissistic personality disorder
DIS_0564,Narcolepsy
DIS_0565,Nasal and paranasal tumors
DIS_0566,Nasal polyps
DIS_0567,Nasopharyngeal carcinoma
DIS_0568,Nearsightedness
DIS_0569,Neck pain
DIS_0570,Nephrogenic systemic fibrosis
DIS_0572,Neuroblastoma
DIS_0574,Neuroendocrine tumors
DIS_0575,Neurofibroma
DIS_0576,Neurofibromatosis type 1
DIS_0577,Neuromyelitis optica
DIS_0579,Nicotine dependence
DIS_0580,Niemann-Pick disease
DIS_0581,Nightmare disorder
DIS_0582,Non-Hodgkin lymphoma
DIS_0584,Nonmelanoma skin cancer
DIS_0587,Obesity
DIS_0588,Obstructive sleep apnea
DIS_0589,Ocular rosacea
DIS_0590,Oligodendroglioma
DIS_0591,Oppositional defiant disorder (ODD)
DIS_0593,Orchitis
DIS_0596,Osteochondritis dissecans
DIS_0597,Osteomyelitis
DIS_0598,Osteoporosis
DIS_0599,Osteosarcoma
DIS_0600,Ovarian cysts
DIS_0602,Overactive bladder
DIS_0604,Painful intercourse (dyspareunia)
DIS_0605,Pancreatic cancer
DIS_0607,Pancreatic neuroendocrine tumors
DIS_0608,Pancreatitis
DIS_0609,Panic attacks and panic disorder
DIS_0610,Paraganglioma
DIS_0611,Paraneoplastic syndromes of the nervous system
DIS_0612,Parkinson's disease
DIS_0613,Parotid tumors
DIS_0616,Patent ductus arteriosus (PDA)
DIS_0617,Peanut allergy
DIS_0618,Pectus excavatum
DIS_0619,Pediatric brain tumors
DIS_0620,Pediatric obstructive sleep apnea
DIS_0623,Pelvic organ prolapse
DIS_0625,Peptic ulcer
DIS_0627,Pericarditis
DIS_0628,Perimenopause
DIS_0629,Periodontitis
DIS_0630,Peripheral artery disease (PAD)
DIS_0631,Peripheral nerve injuries
DIS_0632,Peripheral nerve tumors
